Цифра,Тип данных,Точность,Полнота,F1-мера,Поддержка
1,clean,0.12037037037037036,0.10655737704918032,0.11304347826086956,122.0
2,clean,0.14965986394557823,0.16666666666666666,0.15770609318996415,132.0
3,clean,0.07476635514018691,0.055944055944055944,0.064,143.0
4,clean,0.13533834586466165,0.140625,0.13793103448275862,128.0
5,clean,0.1292517006802721,0.13970588235294118,0.13427561837455831,136.0
6,clean,0.14736842105263157,0.1076923076923077,0.12444444444444444,130.0
7,clean,0.15942028985507245,0.16176470588235295,0.16058394160583941,136.0
8,clean,0.062111801242236024,0.07407407407407407,0.06756756756756757,135.0
9,clean,0.07142857142857142,0.08771929824561403,0.07874015748031496,114.0
1,noisy,0.13333333333333333,0.11267605633802817,0.12213740458015267,71.0
2,noisy,0.13157894736842105,0.14285714285714285,0.136986301369863,70.0
3,noisy,0.11940298507462686,0.12903225806451613,0.12403100775193798,62.0
4,noisy,0.13043478260869565,0.1232876712328767,0.1267605633802817,73.0
5,noisy,0.125,0.11428571428571428,0.11940298507462686,70.0
6,noisy,0.09615384615384616,0.07936507936507936,0.08695652173913043,63.0
7,noisy,0.136986301369863,0.18181818181818182,0.15625,55.0
8,noisy,0.14814814814814814,0.1791044776119403,0.16216216216216217,67.0
9,noisy,0.17105263157894737,0.14942528735632185,0.15950920245398773,87.0
1,distorted,0.08695652173913043,0.08,0.08333333333333333,25.0
2,distorted,0.038461538461538464,0.058823529411764705,0.046511627906976744,17.0
3,distorted,0.07692307692307693,0.14285714285714285,0.1,14.0
4,distorted,0.2692307692307692,0.2692307692307692,0.2692307692307692,26.0
5,distorted,0.09523809523809523,0.10526315789473684,0.1,19.0
6,distorted,0.1875,0.15,0.16666666666666666,20.0
7,distorted,0.2916666666666667,0.22580645161290322,0.2545454545454545,31.0
8,distorted,0.18181818181818182,0.14814814814814814,0.16326530612244897,27.0
9,distorted,0.09090909090909091,0.07407407407407407,0.08163265306122448,27.0
